symbol,name,underlyingIndexName,legacyAssetClass,assetClass,legacySectorCode,sectorCode,region,stockSectorCode,rotationSource,marketSource,peerGroup,basis,confidence
304940,KODEX 미국나스닥100선물(H),NASDAQ 100,equity,equity,MARKET_IDX,MARKET_IDX,US,,not_applicable_no_compatible_stock_sector,own_underlying_regime,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
305540,TIGER 2차전지테마,WISE 2차전지 테마 지수,equity,equity,BATTERY,BATTERY,KR,BATTERY,domestic_stock_sector,domestic_stock_sector,KR:BATTERY,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
305720,KODEX 2차전지산업,FnGuide 2차전지 산업 지수,equity,equity,BATTERY,BATTERY,KR,BATTERY,domestic_stock_sector,domestic_stock_sector,KR:BATTERY,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
306520,HANARO 200선물인버스,코스피 200 선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
306950,KODEX KRX300레버리지,KRX 300,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
307510,TIGER 의료기기,FnGuide 의료기기 지수,equity,equity,HEALTH_SVC,HEALTH_SVC,KR,HEALTH_SVC,domestic_stock_sector,domestic_stock_sector,KR:HEALTH_SVC,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
309230,ACE 미국WideMoat동일가중,MorningStar Wide Moat Focus Index,equity,equity,ETC,MARKET_IDX,US,,not_applicable_no_compatible_stock_sector,own_underlying_regime,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
310960,TIGER 200TR,코스피 200 TR,equity,equity,ETC,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
310970,TIGER MSCI Korea TR,MSCI Korea TR Index,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
314250,KODEX 미국빅테크10(H),NYSE U.S. Big TECH 10 INDEX,equity,equity,ETC,MULTI_TECH,US,,not_applicable_no_compatible_stock_sector,own_underlying_regime,US:MULTI_TECH,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
315930,KODEX Top5PlusTR,FnGuide TOP 5 Plus Total Return 지수,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
315960,RISE 대형고배당10TR,WISE 대형고배당10 TR 지수,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
322400,HANARO e커머스,FnGuide E커머스 지수,equity,equity,ETC,SOFTWARE,KR,SOFTWARE,domestic_stock_sector,domestic_stock_sector,KR:SOFTWARE,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
325010,KODEX 성장주,FnGuide 성장 지수(PR),equity,equity,ETC,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
325020,KODEX 배당가치,FnGuide SLV 배당가치 지수,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
326240,RISE IT플러스,FnGuide IT플러스 지수,equity,equity,IT_HW,IT_HW,KR,IT_HW,domestic_stock_sector,domestic_stock_sector,KR:IT_HW,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
328370,PLUS 코스피TR,코스피 TR,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
329200,TIGER 리츠부동산인프라,FnGuide 리츠부동산인프라,reit_infra,reit_infra,MARKET_IDX,REIT,KR,,excluded_nonplain_equity,not_researched,KR:REIT,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
329750,TIGER 미국달러단기채권액티브,KIS U.S. TREASURY BOND 0-1Y 지수(총수익),bond_cash,bond_cash,MARKET_IDX,BOND_CASH,US,,excluded_nonplain_equity,not_researched,US:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
332500,ACE 200TR,코스피 200 TR,equity,equity,ETC,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
