symbol,sectorCode,mapMethod,confidenceGrade
PSKY,TELCO_MEDIA,ML_NAME_IMPUTED,C3
PWCM,ENERGY,ML_NAME_IMPUTED,C3
PZZA,CONSUMER,ML_NAME_IMPUTED,C3
PNRG,CHEM_STEEL,RULE,B
PODD,HEALTH_SVC,EXPLICIT,A
PODC,CONSUMER,ML_NAME_IMPUTED,C3
PTLO,SOFTWARE,ML_NAME_IMPUTED,C2
PWRL,ENERGY,ML_NAME_IMPUTED,C2
PRHI,FINANCE,ML_NAME_IMPUTED,C3
QADR,FINANCE,RULE,B
PTC,SOFTWARE,EXPLICIT,A
PTON,SOFTWARE,RULE,B
POET,IT_HW,RULE,B
PTN,IT_HW,RULE,B
PSMT,CONSUMER,ML_NAME_IMPUTED,C3
PMAX,ENERGY,ML_NAME_IMPUTED,C3
PNTG,TELCO_MEDIA,ML_NAME_IMPUTED,C3
PPHC,CONSUMER,ML_NAME_IMPUTED,C3
PRLD,BIO,RULE,B
PYXS,BIO,RULE,B
PNBK,FINANCE,RULE,B
PTAC,FINANCE,RULE,B
PMTS,TELCO_MEDIA,ML_NAME_IMPUTED,C3
PMTR,FINANCE,RULE,B
PURR,CONSUMER,ML_NAME_IMPUTED,C3
PSNL,CONSUMER,ML_NAME_IMPUTED,C3
PWP,HEALTH_SVC,ML_NAME_IMPUTED,C3
POWL,SHIP_DEF,RULE,B
POWI,ENERGY,RULE,B
PUBM,SOFTWARE,ML_NAME_IMPUTED,C2
PUSA,CONSUMER,ML_NAME_IMPUTED,C3
PMCB,BIO,RULE,B
POWW,CONSUMER,ML_NAME_IMPUTED,C2
PPIH,CONSUMER,ML_NAME_IMPUTED,C3
QNBC,CHEM_STEEL,ML_NAME_IMPUTED,C3
QCLS,IT_HW,RULE,B
PRME,BIO,ML_NAME_IMPUTED,C3
PROP,CONSUMER,ML_NAME_IMPUTED,C3
PXS,CONSUMER,ML_NAME_IMPUTED,C3
PROV,FINANCE,RULE,B
PTCT,BIO,RULE,B
PMVP,BIO,RULE,B
QCOM,SEMI,EXPLICIT,A
PLTK,CONSUMER,ML_NAME_IMPUTED,C3
PPLI,AUTO,ML_NAME_IMPUTED,C3
PRPL,CONSUMER,ML_NAME_IMPUTED,C3
PLTS,SOFTWARE,RULE,B
PLTR,SOFTWARE,EXPLICIT,A
PTRN,TELCO_MEDIA,ML_NAME_IMPUTED,C3
PLSM,SOFTWARE,ML_NAME_IMPUTED,C3
QNCX,BIO,RULE,B
PROK,SOFTWARE,ML_NAME_IMPUTED,C3
PSQL,CHEM_STEEL,ML_NAME_IMPUTED,C3
PROF,HEALTH_SVC,RULE,B
PMEC,SEMI,ML_NAME_IMPUTED,C3
